dname,dphone,daddress1,dfax,daddress2,ctydist,dcity1,ctydist1,dsuparea,dcounty,dcounty1,Textbox3,Textbox5,Textbox6,dzip,Tax_Levy,delemsn,delemst,delemsrs,delemsns,delemsts,dmidssn,dmidsst,dmidssrs,dmidssns,dmidssts,djrsn,djrst,djrsrs,djrsns,djrsts,dhighsn,dhighst,dhighsrs,dhighsns,dhighsts,dtotschl,dtottech,dtotres,dtotnres,dtotstu,SDLNAME,SDTITLE,SDYRSEXP,SCHNAME,SCHNAME8,SCHNAME6,SCHNAME3,SCHNAME10,SCHNAME5
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Ms. Nakia Cobb,Admin Asst To Supt ,17,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.  Tba,Chief Academic Officer ,2,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Charles Burton,Interim Chief Hr Officer ,5,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Roger Cayce,Exec Dir Fax Mgnt/Bldg Cmsnr ,11,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Anthony Ruby,Network Supt ,3,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Ian Roberts,Network Supt ,3,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jere Hochman,Network Supt ,2,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Jeanine Zitta,Network Supt ,19,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Debra Moran-Reimonenq,Network Supt ,5,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Latisha Smith,Prof. Dev. Chairperson,,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Griscom Juvenile Detention Center (1015),"3847 Enright Avenue St. Louis, MO 63108-0000",Grade Span: 05-12,Phone: 314-552-2219   Fax:,Principal: Mr. David Shanks (7 years in district),E-mail: DAVID.SHANKS@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educ Therap Support At Madison (1024),"118 South 7th St. St. Louis, MO 63104-0000",Grade Span:  K-08,Phone: 314-932-5711   Fax:314-244-1948,Principal: Mr. Marvin Echols (6 years in district),E-mail: MARVIN.ECHOLS@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miller Career Academy (1100),"1000 N Grand St. Louis, MO 63106-1622",Grade Span: 09-12,Phone: 314-371-0394   Fax:314-371-1311,Principal: Mr. Michael Brown (19 years in district),E-mail: MICHAEL.BROWN@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway High (1220),"5101 Mcree Avenue St. Louis, MO 63110-2019",Grade Span: 09-12,Phone: 314-776-3300   Fax:314-776-8267,Principal: Dr. Amy Phillips (12 years in district),E-mail: AMY.PHILLIPS@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community Access Job Training (1222),"4915 Donovan Avenue St. Louis, MO 63109-2631",Grade Span: 08-12,Phone: 314-481-4095   Fax:314-481-4220,Principal: Ms. Kimberly Long (11 years in district),E-mail: KIMBERLY.LONG@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beaumont Cte High School (1250),"3836 Natural Bridge Avenue St. Louis, MO 63107-2003",Grade Span: 09-12,Phone: 314-533-2410   Fax:314-535-0786,Principal: Ms. Felita Williams (10 years in district),E-mail: FELITA.WILLIAMS@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland Njrotc Academy (1440),"3125 S Kingshighway St. Louis, MO 63139-3404",Grade Span: 09-12,Phone: 314-776-1301   Fax:314-231-4895,Principal: Dr. Shearing C Victoria (11 years in district),E-mail: VICTORIA.SHEARING@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnahan School Of The Future (1500),"4041 S Broadway St. Louis, MO 63118-4603",Grade Span: 09-12,Phone: 314-457-0582   Fax:314-457-9741,Principal: Dr. Renee Racette (13 years in district),E-mail: RENEE.RACETTE@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collegiate School Of Med/Bio (1510),"1547 S. Theresa Av St. Louis, MO 63104-0000",Grade Span: 09-12,Phone: 314-696-2290   Fax:,Principal: Mr. Frederick Steele (4 years in district),E-mail: FREDERICK.STEELE@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Law (1540),"5140 Riverview Boulevard St. Louis, MO 63120-1908",Grade Span: 09-12,Phone: 314-385-4774   Fax:314-385-3651,Principal: Ms. Valerie D Carter-Thomas (23 years in district),E-mail: VALERIE.CARTER@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metro High (1560),"4015 Mcpherson Avenue St. Louis, MO 63108-3117",Grade Span: 09-12,Phone: 314-534-3894   Fax:314-531-4894,Principal: Mr. Steven D Lawler (2 years in district),E-mail: STEVEN.LAWLER@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mckinley Class. Leadership Ac. (1570),"2156 Russell Boulevard St. Louis, MO 63104-2607",Grade Span: 06-12,Phone: 314-773-0027   Fax:314-771-9749,Principal: Mr. Stephen D Warmacksr (4 years in district),E-mail: STEPHEN WARMACKSR.@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roosevelt High (1680),"3230 Hartford St. St. Louis, MO 63118-2106",Grade Span: 09-12,Phone: 314-776-6040   Fax:314-776-0152,Principal: Mr. Joshua J Henning (19 years in district),E-mail: JOSHUA.HENNING@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soldan International Studies (1730),"918 N Union Boulevard St. Louis, MO 63108-1089",Grade Span: 09-12,Phone: 314-367-9222   Fax:314-367-1898,Principal: Dr. Thomas B Cason (34 years in district),E-mail: THOMAS.CASON@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sumner High (1800),"4248 Cottage Avenue St. Louis, MO 63113-2545",Grade Span: 09-12,Phone: 314-371-1048   Fax:314-531-9852,Principal: Dr. Michael Triplett (8 years in district),E-mail: MICHAEL.TRIPLETT@SLPS.ORG
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vashon High (1830),"3035 Cass Avenue St. Louis, MO 63106-1533",Grade Span: 09-12,Phone: 314-533-9487   Fax:314-533-7540,Principal: Ms. June Berry (20 years in district),E-mail: JUNE.BERRY@SLPS.ORG
